index,n
0,0
1,10
2,6
3,5
4,3
5,1
6,8
7,1
8,7
9,8
10,4
11,3
12,6
13,8
14,1
15,10
16,3
17,1
18,2
19,10
20,4
21,5
22,1
23,7
24,4
25,1
26,1
27,0
28,6
29,8
30,9
31,8
32,2
33,1
34,10
35,0
36,10
37,8
38,8
39,5
40,2
41,2
42,0
43,8
44,4
45,3
46,5
47,4
48,7
49,3
50,4
51,3
52,4
53,0
54,0
55,6
56,6
57,2
58,7
59,1
60,0
61,6
62,3
63,1
64,4
65,6
66,4
67,8
68,4
69,4
70,0
71,10
72,8
73,10
74,10
75,2
76,8
77,5
78,9
79,3
80,8
81,8
82,7
83,1
84,10
85,4
86,1
87,4
88,1
89,0
90,5
91,5
92,7
93,6
94,6
95,9
96,0
97,3
98,3
99,6
100,4
101,6
102,0
103,5
104,10
105,3
106,5
107,3
108,4
109,7
110,1
111,8
112,8
113,0
114,4
115,2
116,6
117,2
118,2
119,2
120,4
121,10
122,2
123,4
124,0
125,10
126,3
127,2
128,2
129,5
130,10
131,5
132,5
133,7
134,7
135,1
136,5
137,10
138,4
139,9
140,2
141,9
142,3
143,8
144,3
145,3
146,2
147,1
148,5
149,8
150,2
151,8
152,5
153,7
154,8
155,8
156,1
157,0
158,2
159,9
160,4
161,9
162,10
163,9
164,0
165,9
166,9
167,5
168,7
169,3
170,7
171,7
172,10
173,6
174,2
175,8
176,6
177,2
178,7
179,9
180,6
181,0
182,10
183,1
184,5
185,4
186,6
187,9
188,4
189,5
190,1
191,8
192,9
193,8
194,0
195,1
196,4
197,10
198,0
199,3
200,2
201,9
202,10
203,6
204,7
205,2
206,8
207,2
208,0
209,4
210,4
211,6
212,0
213,6
214,3
215,2
216,7
217,1
218,1
219,8
220,3
221,7
222,4
223,3
224,0
225,2
226,3
227,1
228,5
229,4
230,4
231,0
232,0
233,10
234,7
235,8
236,8
237,10
238,1
239,1
240,5
241,9
242,10
243,7
244,7
245,7
246,6
247,0
248,1
249,3
250,0
251,4
252,6
253,0
254,2
255,3
256,7
257,4
258,7
259,4
260,2
261,10
262,1
263,10
264,3
265,2
266,5
267,5
268,8
269,2
270,10
271,9
272,1
273,5
274,8
275,8
276,9
277,5
278,5
279,2
280,10
281,10
282,0
283,7
284,10
285,2
286,2
287,3
288,9
289,10
290,4
291,3
292,8
293,7
294,1
295,9
296,10
297,2
298,10
299,2
300,7
301,10
302,0
303,1
304,8
305,2
306,4
307,6
308,9
309,5
310,6
311,9
312,10
313,10
314,9
315,5
316,2
317,1
318,9
319,10
320,7
321,1
322,0
323,0
324,0
325,6
326,5
327,4
328,0
329,2
330,7
331,10
332,7
333,9
334,6
335,1
336,0
337,2
338,0
339,10
340,1
341,0
342,9
343,10
344,4
345,9
346,8
347,4
348,5
349,5
350,5
351,8
352,4
353,7
354,8
355,4
356,9
357,10
358,10
359,1
360,2
361,4
362,5
363,7
364,10
365,8
366,0
367,0
368,7
369,0
370,5
371,6
372,10
373,0
374,9
375,6
376,3
377,9
378,1
379,0
380,3
381,1
382,10
383,9
384,3
385,8
386,7
387,8
388,6
389,2
390,6
391,10
392,7
393,6
394,10
395,8
396,0
397,10
398,4
399,3
400,9
401,10
402,8
403,3
404,7
405,10
406,10
407,2
408,9
409,2
410,0
411,8
412,10
413,0
414,10
415,4
416,6
417,4
418,1
419,1
420,4
421,9
422,5
423,1
424,8
425,3
426,6
427,3
428,6
429,2
430,3
431,7
432,9
433,0
434,8
435,10
436,6
437,0
438,10
439,6
440,3
441,5
442,7
443,2
444,2
445,10
446,9
447,7
448,7
449,8
450,10
451,7
452,4
453,2
454,2
455,4
456,7
457,9
458,2
459,0
460,8
461,4
462,6
463,4
464,10
465,0
466,5
467,8
468,6
469,9
470,5
471,3
472,8
473,7
474,7
475,4
476,8
477,7
478,10
479,7
480,2
481,3
482,1
483,4
484,2
485,4
486,3
487,1
488,10
489,8
490,3
491,7
492,10
493,1
494,0
495,0
496,8
497,2
498,9
499,5
