cid,cas,name,group,Volume,Volume publication year,Evaluation year,Additional information
,,"Aloe vera, whole leaf extract",2B,108,2016,2013.0,
,,Clonorchis sinensis (infection with),1,"61, 100B",2012,2009.0,
,,"Fusarium graminearum, F. culmorum, and F. crookwellense, toxins derived from (zearalenone, deoxynivalenol, nivalenol, and fusarenone X)",3,"Sup 7, 56",1993,1992.0,
,,"Fusarium sporotrichioides, toxins derived from (T-2 toxin)",3,56,1993,1992.0,
,,Helicobacter pylori (infection with),1,"61, 100B",2012,2009.0,
,,Microcystis extracts,3,94,2010,2006.0,
,,Opisthorchis felineus (infection with),3,61,1994,1994.0,
,,Opisthorchis viverrini (infection with),1,"61, 100B",2012,2009.0,
,,Schistosoma haematobium (infection with),1,"61, 100B",2012,2009.0,
,,Schistosoma japonicum (infection with),2B,61,1994,1994.0,
,,Schistosoma mansoni (infection with),3,61,1994,1994.0,
,,"Acheson process, occupational exposure associated with",1,111,2017,2014.0,
,,"Acid mists, strong inorganic",1,"54, 100F",2012,2009.0,
,,Acrylic fibres,3,"19, Sup 7",1987,1987.0,
,,Acrylonitrile-butadiene-styrene copolymers,3,"19, Sup 7",1987,1987.0,
,,Alcoholic beverages,1,"44, 96, 100E",2012,2009.0,
,,Alpha particles (see Radionuclides),,,,,
,,Aluminium production,1,"34, Sup 7, 92, 100F",2012,2009.0,
,,"Anaesthetics, volatile",3,"11, Sup 7",1987,1987.0,
,,Androgenic (anabolic) steroids,2A,Sup 7,1987,1987.0,
,,Areca nut,1,"85, 100E",2012,2009.0,
2230,,Arecoline,2B,128,2021 online,2020.0,
,,"Art glass, glass containers and pressed ware (manufacture of)",2A,58,1993,1993.0,
,,Auramine production,1,"Sup 7, 99, 100F",2012,2009.0,
,,BK polyomavirus (BKV),2B,104,2014,2012.0,
,,"Benzidine, dyes metabolized to",1,"99, 100F",2012,2009.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
,,Beta particles (see Radionuclides),,,,,
,,Betel quid with tobacco,1,"Sup 7, 85, 100E",2012,2009.0,
,,Betel quid without tobacco,1,"Sup 7, 85, 100E",2012,2009.0,
,,"Biomass fuel (primarily wood), indoor emissions from household combustion of",2A,95,2010,2006.0,
