ID	RawLevels	NewLevels
16	-1,0,1,2,3	0,0,0,0,1
18	1,2	2,1
29	9	0
487	-1	31
488	-1001	0.5
489	9,0,1	0,1,2
493	-131,-141	1,2
494	-1520,-2030,-3040,4000	1,2,3,4
496	111,112,113,114	3,2,1,0
511	-999	max()+1
517	-999	max()+1
528	-999	max()+1
530	-999	max(min()-1, 0)
537	1,2,3,4,5,6	6,5,4,3,2,1
946	-1001	0.5
950	-500,-501,-502,-503,-504	0,1,2,3,4
957	-777	52
1018	-600,-601,-602	0,1,2
1231	-7,2,1	0,1,2
1990	0	max()+1
3002	-500,-531,-532,-533	0,1,2,3
3003	-521,-522,-523,-524	0,1,2,3
3004	-521,-522,-523,-524,-525	0,1,2,3,4
3005	-521,-522,-523,-524,-525	0,1,2,3,4
3006	-521,-522,-523,-524	0,1,2,3
3012	-521,-522,-523,-524	0,1,2,3
3013	-511,-512,-513	1,2,3
3014	-100,-99	0,1
3018	-98,-97	0,0
3019	-521,-522,-523,-524,-525	0,1,2,3,4
3020	-521,-522,-523,-524,-525	0,1,2,3,4
3021	-521,-522,-523,-524,-525	0,1,2,3,4
3022	-818	0
100001	555,1,200	0.5,1,2
100002	555,1,2,300	0.5,1,2,3
100003	555,1,2,300	0.5,1,2,3
100004	555,1,2,3,400	0.5,1,2,3,4
100005	444,555,1,2,3,4,500	0.25,0.5,1,2,3,4,5
100006	555,1,2,3,4,5,600	0.5,1,2,3,4,5,6
100007	1,2,3,4,5,600	1,2,3,4,5,6
100008	111	0.5
100009	1,111	1,0.5
100011	0,10,1030,3060,12,24,46,600	0,0.0833333,0.333333,0.75,1.5,3,5,7
100012	0,1,13,35,57,79,912,1200	0,0.5,2,4,6,8,10.5,13.5
100016	555,1,2,3,4,500	0.5,1,2,3,4,5
100017	444,555,1,2,300	0.25,0.5,1,2,3
100271	0,3,2,1	0,1,2,3
100290	-10	0.5
100298	-10	0.5
100300	-10	0.5
100305	1,2,5,6,3,4	5,4,3,2,1,1
100307	-2	0
100327	1,2,3,4,5,6,7	6,5,4,3,2,1,0
100329	-10	0.5
100334	5	0
100338	1,0,2	0,1,2
100345	1,2	2,1
100347	0,2,1	0,1,2
100348	4,3,2,1	0,1,2,3
100353	-10	0.5
100355	-10	0.5
100359	1,2,3,4	3,2,1,0
100360	1,2,3	3,2,1
100369	1,2,3,4	3,2,1,0
100373	-10	0.5
100398	1,2,3	3,2,1
100402	1,2,3,4,5,6	5,4,3,2,1,0
100416	-6,1	1,2
100417	1,2,3	3,2,1
100428	1,2,3	1,3,2
100429	1,2,3	1,3,2
100435	1,2,3	1,3,2
100478	1,2,3,4,5,6	6,5,4,3,2,1
100479	1,2,3,4,5,6	6,5,4,3,2,1
100499	11,12,13	1,2,3
100508	1,2,3,4	4,3,2,1
100511	1,2,3,4	3,2,1,0
100536	5	0
100537	-10	0.5
100540	0,2,3	2,3,1
100567	-10	0.5
100569	-10	0.5
100605	-7	0
100631	99	2
100635	0,14,13,12,11	0,1,2,3,4
100636	4,13,12,11	0,1,2,3
100637	0,13,12,11	0,0.5,3,7
100643	13,14,15,16,17	0,0,1,0,0
100644	642,308,987,714,253	0,0,1,0,0
100645	1,2,3,4,5	0,0,0,1,0
100646	5,6,7,8	0,1,0,0
100647	1,2,3,4,5	0,0,0,1,0
100648	68,69,70,71,72	0,1,0,0,0
100649	1,2,3,4,5	0,0,1,0,0
100650	25,26,27,28,29	0,1,0,0,0
100651	1,2,3,4,5	0,0,0,1,0
100652	96,95,94,93,92	0,1,0,0,0
100653	1,2,3,4,5	0,0,0,0,1
100654	50,49,48,47,46,45	0,0,0,0,0,1
100655	1,2,3,-5	1,0,0,0
100658	1,2,5,3,4	5,4,3,2,1
100662	1,2,3,4,5,6,7	6,5,4,3,2,1,0
100664	0,1,2	1,0,2
100696	-1	max(min()-1,0)
