statID,statName,statType
1,G,Batting
2,AB,Batting
3,R,Batting
4,H,Batting
5,2B,Batting
6,3B,Batting
7,HR,Batting
8,RBI,Batting
9,SB,Batting
10,CS,Batting
11,BB,Batting
12,SO,Batting
13,GIDP,Batting
14,PA,Batting
15,TB,Batting
16,AVG,Batting
17,SLG,Batting
18,OBP,Batting
19,OPS,Batting
20,BB_pct,Batting
21,K_pct,Batting
22,G,Pitching
23,W,Pitching
24,L,Pitching
25,CG,Pitching
26,SHO,Pitching
27,SV,Pitching
28,IPouts,Pitching
29,H,Pitching
30,HR,Pitching
31,BB,Pitching
32,HBP,Pitching
33,SO,Pitching
34,R,Pitching
35,ER,Pitching
36,ERA,Pitching
37,BFP,Pitching
38,WPCT,Pitching
39,POS,Fielding
40,G,Fielding
41,PO,Fielding
42,A,Fielding
43,E,Fielding
44,DP,Fielding
45,PB,Fielding
46,FP,Fielding
47,RF,Fielding
