model_name,metric_name,score,passed_threshold,threshold_applied,generated_text,reference_text
PerfectModel,TimeSeriesElementDiff,1.0,True,0.5,"t1: 70, t2: 72, t3: 75","t1: 70, t2: 72, t3: 75"
PerfectModel,TimeSeriesDTW,1.0,True,0.5,"t1: 70, t2: 72, t3: 75","t1: 70, t2: 72, t3: 75"
PerfectModel,Jaccard,1.0,True,0.5,"t1: 70, t2: 72, t3: 75","t1: 70, t2: 72, t3: 75"
PerfectModel,Levenshtein,1.0,True,0.5,"t1: 70, t2: 72, t3: 75","t1: 70, t2: 72, t3: 75"
GoodValueModel,TimeSeriesElementDiff,0.9953880070546738,True,0.5,"t1: 71, t2: 73, t3: 76","t1: 70, t2: 72, t3: 75"
GoodValueModel,TimeSeriesDTW,0.36602540378443865,False,0.5,"t1: 71, t2: 73, t3: 76","t1: 70, t2: 72, t3: 75"
GoodValueModel,Jaccard,0.3333333333333333,False,0.5,"t1: 71, t2: 73, t3: 76","t1: 70, t2: 72, t3: 75"
GoodValueModel,Levenshtein,0.8636363636363636,True,0.5,"t1: 71, t2: 73, t3: 76","t1: 70, t2: 72, t3: 75"
MissingPointModel,TimeSeriesElementDiff,0.6666666666666666,True,0.5,"t1: 70, t3: 75","t1: 70, t2: 72, t3: 75"
MissingPointModel,TimeSeriesDTW,0.3333333333333333,False,0.5,"t1: 70, t3: 75","t1: 70, t2: 72, t3: 75"
MissingPointModel,Jaccard,0.6666666666666666,True,0.5,"t1: 70, t3: 75","t1: 70, t2: 72, t3: 75"
MissingPointModel,Levenshtein,0.7777777777777778,True,0.5,"t1: 70, t3: 75","t1: 70, t2: 72, t3: 75"
WrongKeyModel,TimeSeriesElementDiff,0.5,True,0.5,"t1: 70, t2: 72, t4: 80","t1: 70, t2: 72, t3: 75"
WrongKeyModel,TimeSeriesDTW,0.16666666666666666,False,0.5,"t1: 70, t2: 72, t4: 80","t1: 70, t2: 72, t3: 75"
WrongKeyModel,Jaccard,0.5,True,0.5,"t1: 70, t2: 72, t4: 80","t1: 70, t2: 72, t3: 75"
WrongKeyModel,Levenshtein,0.8636363636363636,True,0.5,"t1: 70, t2: 72, t4: 80","t1: 70, t2: 72, t3: 75"
