,intercept
A_0101,-2.93279147876832
A_0201,-3.08067761959385
A_0301,-3.3057183554972354
A_1101,-3.9597796020343137
A_2301,-2.725426415598341
A_2402,-2.342784271702436
A_2601,-3.1124769407885347
A_2902,-4.999263670178606
A_3002,-4.528229650592072
A_3101,-2.3565247277982366
A_3201,-3.4487846164781746
A_6801,-4.909653921766512
B_0702,-7.018263102287372
B_0801,-3.9670544561815397
B_1402,-7.085028458174568
B_1501,-4.198540685924319
B_1801,-4.679902619329198
B_2705,-4.457345080651037
B_3501,-2.36423319578425
B_4001,-11.167075554952438
B_4402,-3.2387934341815754
B_4403,-4.899697878000422
B_5101,-3.0268608435256517
B_5701,-2.8286710732586435
C_0102,-2.2084114927436946
C_0202,-1.8327531766786127
C_0303,-1.5797613029208553
C_0304,-2.6386827295726376
C_0401,-2.051504485736441
C_0501,-2.3972591847435663
C_0602,-2.9441970628266616
C_0701,-2.204849257694397
C_0702,-1.9246143500448332
C_0802,-7.341553351565346
C_1203,-3.0570367102906446
C_1502,-2.0435793762089363
C_1601,-3.7579323402476734
DPA1_0103,-0.5949702382926678
DPA1_0103__DPB1_0101,-3.1118463466947563
DPA1_0103__DPB1_0201,-2.293113924226887
DPA1_0103__DPB1_0301,-2.4126447477272954
DPA1_0103__DPB1_0401,-2.1164178947661956
DPA1_0103__DPB1_0402,-2.8049069747138957
DPA1_0201,-1.415035999546651
DPA1_0201__DPB1_0101,-3.583329558479482
DPA1_0201__DPB1_0201,-0.7230935487533632
DPA1_0201__DPB1_0401,-0.4498568185032833
DPA1_0201__DPB1_1101,-2.744554117718324
DPA1_0202,-1.1297133185779418
DPA1_0202__DPB1_0101,-3.954275340430336
DPA1_0301,-1.7287716659830863
DPB1_0101,-3.1897484363500115
DPB1_0201,-2.2761988564140645
DPB1_0301,-2.4554543830609403
DPB1_0401,-2.1744085731007177
DPB1_0402,-2.4142812698831273
DPB1_1101,-2.621145251586132
DQA1_0101,-2.066584081750293
DQA1_0101__DQB1_0302,-1.9897545411967252
DQA1_0101__DQB1_0501,-3.215370396288863
DQA1_0102,-2.324112462907614
DQA1_0102__DQB1_0201,-1.773153468324662
DQA1_0102__DQB1_0302,-1.941483909950444
DQA1_0102__DQB1_0602,-3.1370293991427123
DQA1_0102__DQB1_0604,-4.785901066666055
DQA1_0103,-2.1593072814607632
DQA1_0103__DQB1_0603,-4.6514220019589105
DQA1_0201,-2.945725264481444
DQA1_0201__DQB1_0202,-3.5842289491163344
DQA1_0301,-1.9642053644821822
DQA1_0301__DQB1_0201,-2.8750685274994487
DQA1_0301__DQB1_0301,-2.1163980660667794
DQA1_0301__DQB1_0302,-2.4538983345310803
DQA1_0301__DQB1_0501,-1.6048343337153186
DQA1_0303,-3.026390048003154
DQA1_0401,-3.2893297184360715
DQA1_0401__DQB1_0402,-4.730819913455904
DQA1_0501,-1.388251344559886
DQA1_0501__DQB1_0201,-2.0880641415830383
DQA1_0501__DQB1_0301,-1.5851534560089406
DQA1_0501__DQB1_0302,-2.960274478651057
DQA1_0501__DQB1_0501,-2.050700956583231
DQA1_0505,-2.233538465792259
DQA1_0505__DQB1_0301,-2.722669726807929
DQB1_0201,-2.91117211785487
DQB1_0202,-2.110907211055595
DQB1_0301,-2.114825262223614
DQB1_0302,-2.2250479064030864
DQB1_0303,-4.112746178745825
DQB1_0402,-3.836209819516029
DQB1_0501,-2.954863586430572
DQB1_0602,-4.088789712310098
DQB1_0603,-4.410387336921214
DQB1_0604,-5.020970047125389
DRB1_0101,-2.331855399415375
DRB1_0301,-3.818140498340265
DRB1_0401,-3.2926324725337444
DRB1_0402,-10.602155909983566
DRB1_0404,-2.656859224296883
DRB1_0701,-4.7054891621594965
DRB1_0801,-8.855080165151605
DRB1_1101,-4.1011790282171905
DRB1_1301,-4.276024727760458
DRB1_1302,-3.745685206049824
DRB1_1501,-3.2798234673324207
DRB3_0101,-3.2518878083425116
DRB3_0202,-2.8073367645023652
DRB3_0301,-4.4602930441057715
DRB3_9901,-1.6416509650181952
DRB4_0101,-2.289465973402142
DRB4_0103,-2.537256257521806
DRB4_9901,-0.989123500995396
DRB5_0101,-5.183893123141957
