index,n
0,6
1,1
2,2
3,3
4,3
5,0
6,6
7,1
8,4
9,5
10,9
11,2
12,6
13,10
14,0
15,5
16,8
17,2
18,9
19,3
20,4
21,3
22,1
23,7
24,0
25,2
26,6
27,2
28,0
29,4
30,6
31,9
32,0
33,0
34,9
35,8
36,9
37,6
38,1
39,8
40,4
41,0
42,4
43,1
44,5
45,5
46,3
47,4
48,5
49,5
50,0
51,10
52,6
53,6
54,3
55,2
56,10
57,10
58,4
59,3
60,9
61,6
62,7
63,4
64,1
65,4
66,9
67,5
68,3
69,5
70,0
71,2
72,9
73,6
74,4
75,7
76,6
77,2
78,3
79,2
80,6
81,4
82,5
83,10
84,0
85,0
86,5
87,4
88,0
89,3
90,7
91,9
92,6
93,8
94,6
95,1
96,4
97,9
98,6
99,5
100,10
101,9
102,2
103,4
104,0
105,8
106,4
107,4
108,3
109,7
110,3
111,6
112,1
113,4
114,10
115,3
116,8
117,10
118,8
119,6
120,9
121,8
122,4
123,9
124,4
125,1
126,4
127,1
128,10
129,4
130,3
131,2
132,8
133,0
134,1
135,4
136,6
137,5
138,4
139,2
140,10
141,10
142,0
143,1
144,2
145,5
146,10
147,2
148,0
149,1
150,4
151,10
152,7
153,7
154,9
155,1
156,6
157,1
158,3
159,0
160,1
161,8
162,4
163,10
164,8
165,8
166,8
167,8
168,3
169,9
170,5
171,1
172,6
173,3
174,2
175,3
176,1
177,9
178,3
179,2
180,2
181,8
182,9
183,3
184,5
185,9
186,1
187,7
188,4
189,0
190,8
191,3
192,1
193,4
194,10
195,7
196,2
197,2
198,4
199,0
200,8
201,3
202,5
203,2
204,10
205,4
206,7
207,5
208,0
209,2
210,4
211,6
212,6
213,2
214,7
215,2
216,5
217,1
218,5
219,3
220,7
221,7
222,1
223,2
224,1
225,5
226,8
227,0
228,8
229,6
230,5
231,6
232,4
233,7
234,8
235,7
236,1
237,8
238,2
239,2
240,7
241,0
242,1
243,0
244,5
245,9
246,0
247,0
248,7
249,4
250,3
251,2
252,6
253,3
254,4
255,4
256,9
257,7
258,2
259,2
260,10
261,3
262,0
263,3
264,7
265,8
266,1
267,6
268,1
269,8
270,6
271,6
272,1
273,3
274,0
275,5
276,5
277,3
278,3
279,7
280,5
281,1
282,10
283,10
284,7
285,7
286,2
287,3
288,0
289,2
290,10
291,5
292,10
293,8
294,9
295,4
296,3
297,10
298,0
299,9
300,1
301,8
302,4
303,8
304,10
305,0
306,1
307,5
308,1
309,2
310,9
311,3
312,5
313,6
314,10
315,0
316,10
317,8
318,3
319,10
320,4
321,4
322,2
323,7
324,7
325,9
326,0
327,3
328,4
329,0
330,2
331,4
332,2
333,2
334,5
335,1
336,9
337,10
338,2
339,2
340,10
341,2
342,10
343,6
344,0
345,7
346,4
347,8
348,9
349,3
350,9
351,9
352,8
353,8
354,10
355,7
356,4
357,2
358,2
359,3
360,3
361,7
362,4
363,8
364,7
365,6
366,0
367,9
368,9
369,8
370,9
371,0
372,6
373,7
374,10
375,4
376,0
377,9
378,1
379,9
380,10
381,6
382,4
383,9
384,2
385,9
386,0
387,2
388,8
389,2
390,0
391,5
392,9
393,9
394,0
395,3
396,0
397,8
398,10
399,1
400,0
401,6
402,10
403,0
404,0
405,2
406,4
407,3
408,9
409,9
410,1
411,5
412,0
413,2
414,2
415,8
416,5
417,0
418,7
419,9
420,0
421,2
422,8
423,0
424,5
425,3
426,5
427,7
428,9
429,6
430,6
431,4
432,6
433,1
434,9
435,1
436,2
437,4
438,4
439,6
440,2
441,3
442,4
443,4
444,3
445,0
446,8
447,7
448,5
449,1
450,1
451,3
452,7
453,9
454,5
455,9
456,0
457,7
458,8
459,9
460,9
461,5
462,0
463,5
464,9
465,9
466,1
467,4
468,9
469,6
470,2
471,3
472,4
473,7
474,4
475,7
476,6
477,4
478,6
479,3
480,1
481,9
482,2
483,4
484,2
485,10
486,8
487,8
488,9
489,3
490,5
491,3
492,1
493,4
494,5
495,4
496,9
497,7
498,9
499,9
