CH,SCI,Retained,SCI,Retained
CH1,0.810445195,TRUE,0.173461487,FALSE
CH2,0.855860177,TRUE,0.518866799,TRUE
CH3,0.198113461,FALSE,0.020472232,FALSE
CH4,0.865465455,TRUE,0.728930711,TRUE
CH5,0.954816761,TRUE,0.320444832,FALSE
CH6,0.013528921,FALSE,,FALSE
CH7,0.779895875,TRUE,0.566588943,TRUE
CH8,0.830595901,TRUE,0.263767131,FALSE
CH9,0.752562346,TRUE,0.050236893,FALSE
CH10,0.428564623,FALSE,0.855846491,TRUE
CH11,0.800657758,TRUE,0.747045952,TRUE
CH12,0.831667746,TRUE,0.936316313,TRUE
CH13,0.060584137,FALSE,-0.015319856,FALSE
CH14,0.307565679,FALSE,1.05E-05,FALSE
CH15,0.850791588,TRUE,0.020713805,FALSE
CH16,0.382173804,FALSE,-0.379966712,FALSE
CH17,0.732226919,TRUE,0.016268126,FALSE
CH18,0.877562514,TRUE,0.867316956,TRUE
CH19,0.818322662,TRUE,0.902275782,TRUE
CH20,0.428820743,FALSE,0.002331017,FALSE
CH21,0.385855936,FALSE,0.209893063,FALSE
CH22,0.852242097,TRUE,0.743407807,TRUE
CH23,0.382887267,FALSE,0.276978161,FALSE
CH24,0.960623326,TRUE,0.967889676,TRUE
CH25,0.700599128,TRUE,0.582953926,TRUE
CH26,0.909673907,TRUE,0.920563554,TRUE
CH27,0.483380878,FALSE,-0.038174214,FALSE
CH28,0.590260565,TRUE,0.504749241,TRUE
CH29,0.936149743,TRUE,0.020550452,FALSE
CH30,0.781234281,TRUE,0.496654851,FALSE
CH31,0.318337059,FALSE,-0.034808135,FALSE
CH32,0.679352072,TRUE,0.080220438,FALSE
CH33,0.89196248,TRUE,0.234933413,FALSE
CH34,0.284157162,FALSE,0.075006348,FALSE
CH35,0.904878256,TRUE,0.623826634,TRUE
CH36,0.929748568,TRUE,0.487937519,FALSE
CH37,0.435352353,FALSE,0.421961501,FALSE
CH38,0.849190691,TRUE,0.926442801,TRUE
CH39,0.570810024,TRUE,0.233769978,FALSE
CH40,0.56734531,TRUE,0.497479691,FALSE
CH41,0.495513017,FALSE,0.086864619,FALSE
CH42,0.768717397,TRUE,0.952833491,TRUE
CH43,0.323457466,FALSE,0.448188063,FALSE
CH44,0.858429061,TRUE,0.937052018,TRUE
CH45,0.11761538,FALSE,-0.052101152,FALSE
