name,cid
Acetaldehyde,177
2-Acetylaminofluorene,5897
Acrylamide,6579
Acrylonitrile,7855
Adriamycin,31703
2-Aminoanthraquinone,8341
o-Aminoazotoluene,7340
"1-Amino-2,4-dibromoanthraquinone",6681
"2-Amino-3,4-dimethylimidazo[4,5-f]quinoline (see Heterocyclic Amines [Selected])",
"2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline (see Heterocyclic Amines [Selected])",
1-Amino-2-methylanthraquinone,6702
"2-Amino-3-methylimidazo[4,5-f]quinoline (see Heterocyclic Amines [Selected])",
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (see Heterocyclic Amines [Selected])",
Amitrole,1639
o-Anisidine and Its Hydrochloride,
Antimony Trioxide,
Azacitidine,9444
Basic Red 9 Monohydrochloride,
Benz[a]anthracene ,5954
Benzo[b]fluoranthene ,9153
Benzo[j]fluoranthene ,9152
Benzo[k]fluoranthene ,9158
Benzo[a]pyrene ,2336
Benzotrichloride,7367
"2,2-Bis(bromomethyl)-1,3-propanediol (Technical Grade)",
Bis(chloroethyl) Nitrosourea,2578
Bromochloroacetic Acid,542762
Bromodichloroacetic Acid,114809
Bromodichloromethane,6359
1-Bromopropane,7840
Butylated Hydroxyanisole,
Captafol,17038
Carbon Tetrachloride,5943
Ceramic Fibers,
Chloramphenicol,5959
Chlorendic Acid,8266
Chlorinated Paraffins,
Chlorodibromoacetic Acid,115266
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea,3950
Chloroform,6212
3-Chloro-2-methylpropene,11241
4-Chloro-o-phenylenediamine,7263
Chloroprene,31369
p-Chloro-o-toluidine,7251
Chlorozotocin,
Cisplatin,5702198
Cobalt and Cobalt Compounds,
Cobalt-Tungsten Carbide,185987
p-Cresidine,8445
Cumene,7406
Cupferron,135465076
Dacarbazine,135398738
Danthron,2950
"2,4-Diaminoanisole Sulfate",38221
"2,4-Diaminotoluene",7261
Diazoaminobenzene,8689
"Dibenz[a,h]acridine ",9183
"Dibenz[a,j]acridine",9177
"Dibenz[a,h]anthracene ",5889
"7H-Dibenzo[c,g]carbazole ",9134
"Dibenzo[a,e]pyrene ",9126
"Dibenzo[a,h]pyrene",9108
"Dibenzo[a,i]pyrene ",9106
"Dibenzo[a,l]pyrene ",9119
Dibromoacetic Acid,12433
"1,2-Dibromo-3-chloropropane",7280
"1,2-Dibromoethane",7839
"2,3-Dibromo-1-propanol",7281
Dichloroacetic Acid,6597
"1,4-Dichlorobenzene",4685
"3,3'-Dichlorobenzidine",7070
Dichlorodiphenyltrichloroethane,3036
"1,2-Dichloroethane",11
Dichloromethane,6344
