line,position
uv_fe_60,2907.853
uv_fe_60,2916.148
uv_fe_60,2926.585
uv_fe_60,2939.507
uv_fe_60,2945.264
uv_fe_60,2953.774
uv_fe_60,2961.273
uv_fe_60,2964.659
uv_fe_60,2970.514
uv_fe_60,2975.933
uv_fe_60,2979.353
uv_fe_61,2833.369
uv_fe_61,2837.737
uv_fe_61,2861.168
uv_fe_61,2868.875
uv_fe_61,2874.854
uv_fe_61,2880.7563
uv_fe_61,2892.832
uv_fe_61,2917.462
uv_fe_78,2944.395
uv_fe_78,2947.655
uv_fe_78,2964.624
uv_fe_78,2965.032
uv_fe_78,2984.825
uv_fe_78,2985.545
uv_fe_78,3002.64
uv_fe_zw,2715.0
uv_fe_zw,2840.0
uv_fe_62,2692.834
uv_fe_62,2724.884
uv_fe_62,2730.734
uv_fe_62,2743.197
uv_fe_62,2746.483
uv_fe_62,2749.321
uv_fe_62,2755.736
uv_fe_63,2714.413
uv_fe_63,2727.539
uv_fe_63,2736.966
uv_fe_63,2739.547
uv_fe_63,2746.982
uv_fe_63,2749.181
uv_fe_63,2749.486
uv_fe_63,2761.813
uv_fe_63,2768.934
uv_fe_63,2772.723
