team_id,team_name
1,Anaheim Angels
2,Arizona Diamondbacks
3,Atlanta Braves
4,Baltimore Orioles
5,Boston Red Sox
6,California Angels
7,Chicago Cubs
8,Chicago White Sox
9,Cincinnati Reds
10,Cleveland Guardians
11,Cleveland Indians
12,Colorado Rockies
13,Detroit Tigers
14,Florida Marlins
15,Houston Astros
16,Kansas City Athletics
17,Kansas City Royals
18,Los Angeles Angels
19,Los Angeles Angels of Anaheim
20,Los Angeles Dodgers
21,Miami Marlin
22,Miami Marlins
23,Miami MarlinsMiami Marlins
24,Milwaukee Braves
25,Milwaukee Brewers
26,Minnesota Twins
27,Montreal Expos
28,New York Mets
29,New York Yankees
30,Oakland Athletics
31,Philadelphia Phillies
32,Pittsburgh Pirates
33,Sacramento Athletics
34,San Diego Padres
35,San Francisco Giants
36,Seattle Mariners
37,Seattle Pilots
38,St. Louis Cardinals
39,Tampa Bay Rays
40,Texas Rangers
41,Toronto Blue Jays
42,Washington Nationals
43,Washington Senators
