component,IS,RA,dRA,DEC,dDEC,band_F160W,error_F160W,name,z_s,z_l,ra,dec,photometric_system,Telescope,instrument,Bibcode,notes
A,ima,0.0,1e-05,0.0,1e-05,15.19,0.01,HE0047-1756,1.68,0.407,12.6159,-17.6691,Vega,HST,NIC2,2010A&A...522A..95C,
B,ima,0.2328,0.0008,-1.4094,0.0002,16.69,0.01,HE0047-1756,1.68,0.407,12.6159,-17.6691,Vega,HST,NIC2,2010A&A...522A..95C,
G,lens,0.239,0.0022,-0.8098,0.0056,17.17,0.02,HE0047-1756,1.68,0.407,12.6159,-17.6691,Vega,HST,NIC2,2010A&A...522A..95C,
A,ima,0.0,1e-05,0.0,1e-05,15.36,0.01,RXJ1131-1231,0.657,0.295,172.981,-12.5319,Vega,HST,NIC2,2010A&A...522A..95C,
B,ima,0.0347,0.0005,1.187,0.0005,15.58,0.01,RXJ1131-1231,0.657,0.295,172.981,-12.5319,Vega,HST,NIC2,2010A&A...522A..95C,
C,ima,-0.592,0.0007,-1.1146,0.0004,16.42,0.01,RXJ1131-1231,0.657,0.295,172.981,-12.5319,Vega,HST,NIC2,2010A&A...522A..95C,
D,ima,-3.1154,0.0012,0.8801,0.0013,17.76,0.01,RXJ1131-1231,0.657,0.295,172.981,-12.5319,Vega,HST,NIC2,2010A&A...522A..95C,
G,lens,-2.0269,0.0016,0.6095,0.0015,15.55,0.03,RXJ1131-1231,0.657,0.295,172.981,-12.5319,Vega,HST,NIC2,2010A&A...522A..95C,
A,ima,0.0,1e-05,0.0,1e-05,17.89,0.01,SDSSJ1138+0314,2.438,0.445,174.515,3.24944,Vega,HST,NIC2,2010A&A...522A..95C,
B,ima,-0.1003,0.0006,0.9777,0.0007,19.07,0.01,SDSSJ1138+0314,2.438,0.445,174.515,3.24944,Vega,HST,NIC2,2010A&A...522A..95C,
C,ima,-1.1791,0.0003,0.8119,0.0007,18.89,0.01,SDSSJ1138+0314,2.438,0.445,174.515,3.24944,Vega,HST,NIC2,2010A&A...522A..95C,
D,ima,-0.6959,0.0003,-0.0551,0.0003,19.02,0.01,SDSSJ1138+0314,2.438,0.445,174.515,3.24944,Vega,HST,NIC2,2010A&A...522A..95C,
G,lens,-0.4633,0.0071,0.534,0.0036,17.77,0.01,SDSSJ1138+0314,2.438,0.445,174.515,3.24944,Vega,HST,NIC2,2010A&A...522A..95C,
A,ima,0.0,1e-05,0.0,1e-05,16.83,0.02,SDSSJ1155+6346,2.888,0.176,178.822,63.7728,Vega,HST,NIC2,2010A&A...522A..95C,
B,ima,1.8983,0.0005,0.4052,0.0005,17.87,0.01,SDSSJ1155+6346,2.888,0.176,178.822,63.7728,Vega,HST,NIC2,2010A&A...522A..95C,
G,lens,1.6982,0.0024,0.3438,0.0009,15.71,0.01,SDSSJ1155+6346,2.888,0.176,178.822,63.7728,Vega,HST,NIC2,2010A&A...522A..95C,
A,ima,0.0,1e-05,0.0,1e-05,17.05,0.01,SDSSJ1226-0006,1.125,0.516,186.533,-0.100608,Vega,HST,NIC2,2010A&A...522A..95C,
B,ima,1.2563,0.0002,-0.055,0.0007,17.8,0.01,SDSSJ1226-0006,1.125,0.516,186.533,-0.100608,Vega,HST,NIC2,2010A&A...522A..95C,
G,lens,0.4386,0.0029,0.0209,0.0034,17.71,0.03,SDSSJ1226-0006,1.125,0.516,186.533,-0.100608,Vega,HST,NIC2,2010A&A...522A..95C,
B,ima,0.0,1e-05,0.0,1e-05,17.08,0.01,WFIJ2026-4536,2.23,,306.543,-45.6075,Vega,HST,NIC2,2010A&A...522A..95C,
A1,ima,0.1613,0.0007,-1.429,0.0005,15.58,0.01,WFIJ2026-4536,2.23,,306.543,-45.6075,Vega,HST,NIC2,2010A&A...522A..95C,
A2,ima,0.414,0.0007,-1.2146,0.0006,16.03,0.01,WFIJ2026-4536,2.23,,306.543,-45.6075,Vega,HST,NIC2,2010A&A...522A..95C,
C,ima,-0.5721,0.0006,-1.0437,0.0003,17.26,0.01,WFIJ2026-4536,2.23,,306.543,-45.6075,Vega,HST,NIC2,2010A&A...522A..95C,
G,lens,-0.0479,0.0015,-0.7916,0.0015,18.94,0.04,WFIJ2026-4536,2.23,,306.543,-45.6075,Vega,HST,NIC2,2010A&A...522A..95C,
A,ima,0.0,1e-05,0.0,1e-05,14.37,0.02,HS2209+1914,1.07,,332.876,19.4867,Vega,HST,NIC2,2010A&A...522A..95C,
B,ima,0.3307,0.0004,-0.9863,0.001,14.63,0.01,HS2209+1914,1.07,,332.876,19.4867,Vega,HST,NIC2,2010A&A...522A..95C,
G,lens,0.2155,0.0037,-0.3947,0.0054,21.58,0.2,HS2209+1914,1.07,,332.876,19.4867,Vega,HST,NIC2,2010A&A...522A..95C,
