ID	Category	Variables
1	ID, age, sex, brain MRI protocol Phase	0,31,33,34,52:55,21022,22200,25780
2	genetics	21000,21150:21152,22000:22031,22041:22125,22190:22194,22201:22325,22182,22800:22823,26200:26290
3	early life factors	129,130,1677,1687,1697,1737,1767,1777,1787,21066,20022
10	lifestyle and environment - general	3:6,132,189,670,680,699,709,728,738,767,777,1031,1797,1807,1835,1845,1873,1883,2139,2149,2159,2237,2375,2385,2395,2405,2267,2277,2714:10:2834,2946,3526,3536,3546,3581,3591,3659,3669,3700,3710,3720,3829,3839,3849,3872,3882,3912,3942,3972,3982,4501,4674,4825,4836,5057,6138,6142,6139:6141,6145:6146,6160,10016,10105,10114,10721,10722,10740,10749,10860,10877,10886,20074:20075,20107,20110:20113,20118:20119,20121,22189,22501,22599,22606,22700,22702,22704,24003:24024,24500:24508,26410:26434,30482:30483
11	lifestyle and environment - exercise and work	1001,1011,796,806,816,826,845,864,874,884,894,904,914,924,943,971,981,991,1021,1050:10:1220,2624,2634,3426,3637,3647,6143,6162,6164,10953,10962,10971,20277,20614,20656,20657,20668,20669,20670,20733,20741,20749,21103:21105,22604,22605,22607:22615,22620,22630,22631,22640:22655,104900,104910,104920
12	lifestyle and environment - food and drink	1289:10:1389,1408:10:1548,2654,3089,3680,6144,10007,10723,10767,10776,10855,10912,20084:20094,20098:20106,20108:20109,20600:20613,20615:20616,20618:20640,20642:20655,20658:20667,20671:20681,20683:20708,20710:20728,20730:20732,20734:20740,20743:20748,21100:21101,26000:26155,100001:100009,100011:100019,100021:100025,100010:10:100560,100760:10:104670
13	lifestyle and environment - alcohol	1558:10:1628,2664,3731,3859,4407,4418,4429,4440,4451,4462,5364,10818,20095:20097,20117,20403:20410,20414:20416,20617,20682,20709,20729,20742,100580:10:100740
14	lifestyle and environment - tobacco	1239:10:1279,2644,2867:10:2907,2926,2936,3159,3436:10:3506,5959,6157,6158,6183,6194,10115,10827,10895,20116,20160:20162,20641,22506:22508
20	physical measures - general	46:51,1707,1717,1727,1747,1757,2306,3059,3062:3065,3088,3160,10691,10693:10696,10714,10717,12143:12144,20015,20255:20258,21001,21002,21110:21111,21114,21116:21118,21120:21121,21123:21124,21127:21130,21132:21133,21135,22400:22414,22427,23098:23130,23244:23289,23355:23364,24352:24354
21	physical measures - bone density and sizes	77,78,3083:3086,3143:3144,3146:3148,4092,4095,4100:4101,4103:4106,4119:4120,4122:4125,4138:4147,20300:20313,20315:20318,20320:20321,21005,21112:21113,21119,21122,21125:21126,21131,21134,21136:21138,23200:23243,23290:23320,23325:23344
22	physical measures - cardiac & blood vessels	93:95,102,4079,4080,4136,4194:4196,4198:4200,4204:4205,4207,5983,5984,5986,5992,5993,6014:6017,6019,6020,6022,6024,6032:6034,6038,6039,12673:12687,12336,12338,12340,12697,12698,12702,21021,22330:22338,22420:22426,22670:22685,24100:24181,31060:31133
23	hearing test	4229:4230,4232:4237,4239:4247,4249,4268:4270,4272,4275:4277,4279,4849,10793,20019,20021,20060
24	eye test	5076:5079,5082:5091,5096:5119,5132:5136,5138:5149,5152,5155:5164,5181:5183,5186,5188,5190,5193,5198:5199,5201,5202,5204,5206,5208,5209,5211,5215,5221,5237,5251,5254:5259,5261:5267,5273,5274,5276,5292,5306,5324:5328,6070:6075,7495:7539,7541:7542,7544,20055,20057,20261:20262,27800:27841,27851:27858,28500:28553
25	physical activity measures	5985,20150:20154,22032:22040,30035:30038,90002:90003,90010:90013,90015:90177,90179:90195
26	abdominal measures	21080:21093,21160:21163,21170:21171,21173,22415:22417,22432:22436
30	blood assays	74,23000:23044,23049:23060,23062,23063,23065:23071,23073:23075,23165,23400:23648,30000:10:30300,30314:10:30344,30364:10:30424,30500:10:30530,30600:10:30890
31	brain IDPs	24360:24411,24413:24486,25000:25746,25754:25759,25761:25768,25781:25930,26500:27772,30028,32137:32152
32	cognitive phenotypes	62,111,396:404,630,4250:4256,4258:4260,4281:4283,4285,4287,4290:4292,4294,4924,4935,4936,4947,4957,4958,4968,4969,4979,4980,4990,4991,5001,5002,5012,5013,5556,5557,5699,5700,5779,5780,5790,5791,5866,5867,6312:6313,6325,6332,6333,6348:6351,6362,6364,6365,6373,6374,6382,6383,6770:6773,7676:7678,10133:10134,10136:10144,10146:10147,10241,10609:10610,10612,20016,20018,20023,20082,20128:20149,20155:20157,20159,20165:20197,20198:2:20200,20229,20230,20240,20242,20244:20248,20760:20765,21004,23045:23047,23072,23076:23079,23321:23324,26302,26306,29250
50	health and medical history, health outcomes	84,87,92,134:137,2178,2188,2207,2217,2227,2247,2257,2296,2316,2335:10:2365,2415,2443:10:2473,2492,2674,2684,2694,2704,2844,2956:10:2986,3005,3079,3140,3393,3404,3414,3571,3606,3616,3627,3741,3751,3761,3773,3786,3799,3809,3894,3992,4012,4022,4041,4056,4067,4689,4700,4717,4728,4792,4803,4814,5408,5419,5430,5441,5452,5463,5474,5485,5496,5507,5518,5529,5540,5610,5832,5843,5855,5877,5890,5901,5912,5923,5934,5945,6119,6147,6148,6149,6150,6151,6152,6153,6154,6155,6159,6177,6179,6205,6671,10004:10006,10854,20001:20011,20199,21024:21045,21047:21061,21064:21065,21067,21068,21070:21076,22126:22181,22502:22505,22616,22618,22619,27981:27982,27989:27993,28000,28011:28029,28140,28147:28165,28600:28756,29150:29153,29155:29161,40001:41000,41002:41253,41256,41258,41266,41267,41269:41273,41275:41278,41284:41286,42000:2:42036
