string,case,gender,number,value,order,num_class,scale
ноль,nominative,,,0,-1,cardinal,False
ноля,genetive,,,0,-1,cardinal,False
нолю,dative,,,0,-1,cardinal,False
ноль,accusative,,,0,-1,cardinal,False
нолём,instrumental,,,0,-1,cardinal,False
ноле,prepositional,,,0,-1,cardinal,False
нулевой,nominative,masculine,,0,-1,ordinal,False
нулевая,nominative,feminine,,0,-1,ordinal,False
нулевое,nominative,neuter,,0,-1,ordinal,False
нулевые,nominative,,plural,0,-1,ordinal,False
нулевого,genetive,masculine,,0,-1,ordinal,False
нулевой,genetive,feminine,,0,-1,ordinal,False
нулевого,genetive,neuter,,0,-1,ordinal,False
нулевых,genetive,,plural,0,-1,ordinal,False
нулевому,dative,masculine,,0,-1,ordinal,False
нулевой,dative,feminine,,0,-1,ordinal,False
нулевому,dative,neuter,,0,-1,ordinal,False
нулевым,dative,,plural,0,-1,ordinal,False
нулевой,accusative,masculine,,0,-1,ordinal,False
нулевую,accusative,feminine,,0,-1,ordinal,False
нулевое,accusative,neuter,,0,-1,ordinal,False
нулевые,accusative,,plural,0,-1,ordinal,False
нулевым,instrumental,masculine,,0,-1,ordinal,False
нулевой,instrumental,feminine,,0,-1,ordinal,False
нулевым,instrumental,neuter,,0,-1,ordinal,False
нулевыми,instrumental,,plural,0,-1,ordinal,False
нулевом,prepositional,masculine,,0,-1,ordinal,False
нулевой,prepositional,feminine,,0,-1,ordinal,False
нулевом,prepositional,neuter,,0,-1,ordinal,False
нулевых,prepositional,,plural,0,-1,ordinal,False
один,nominative,masculine,singular,1,0,cardinal,False
одно,nominative,neuter,singular,1,0,cardinal,False
одна,nominative,feminine,singular,1,0,cardinal,False
одни,nominative,,plural,1,0,cardinal,False
одного,genetive,masculine,singular,1,0,cardinal,False
одной,genetive,neuter,singular,1,0,cardinal,False
одних,genetive,feminine,singular,1,0,cardinal,False
одному,dative,masculine,singular,1,0,cardinal,False
одной,dative,neuter,singular,1,0,cardinal,False
одним,dative,feminine,singular,1,0,cardinal,False
один одного,accusative,masculine,singular,1,0,cardinal,False
одно,accusative,neuter,singular,1,0,cardinal,False
одну,accusative,feminine,singular,1,0,cardinal,False
одни одних,accusative,,plural,1,0,cardinal,False
одним,instrumental,masculine,singular,1,0,cardinal,False
одной одною,instrumental,neuter,singular,1,0,cardinal,False
одними,instrumental,feminine,singular,1,0,cardinal,False
одном,prepositional,masculine,singular,1,0,cardinal,False
одной,prepositional,neuter,singular,1,0,cardinal,False
одних,prepositional,feminine,singular,1,0,cardinal,False
первый,nominative,masculine,,1,0,ordinal,False
первая,nominative,feminine,,1,0,ordinal,False
первое,nominative,neuter,,1,0,ordinal,False
первые,nominative,,plural,1,0,ordinal,False
первого,genetive,masculine,,1,0,ordinal,False
первой,genetive,feminine,,1,0,ordinal,False
первого,genetive,neuter,,1,0,ordinal,False
первых,genetive,,plural,1,0,ordinal,False
первому,dative,masculine,,1,0,ordinal,False
первой,dative,feminine,,1,0,ordinal,False
первому,dative,neuter,,1,0,ordinal,False
первым,dative,,plural,1,0,ordinal,False
первый,accusative,masculine,,1,0,ordinal,False
первую,accusative,feminine,,1,0,ordinal,False
первое,accusative,neuter,,1,0,ordinal,False
первые,accusative,,plural,1,0,ordinal,False
первым,instrumental,masculine,,1,0,ordinal,False
первой,instrumental,feminine,,1,0,ordinal,False
первым,instrumental,neuter,,1,0,ordinal,False
первыми,instrumental,,plural,1,0,ordinal,False
первом,prepositional,masculine,,1,0,ordinal,False
первой,prepositional,feminine,,1,0,ordinal,False
первом,prepositional,neuter,,1,0,ordinal,False
