index,sequence_label,source,generator,chisqr_p,chisqr_X2.X-squared,chisqr_df.df,ks_p,ks_D.D,freq_p,freq_X2.X-squared,freq_df.df,eqdist_empiricalMean,eqdist_diff,gap_p,gap_X2.X-squared,gap_df.df,serial_autocorrelation,perm_observed_stat,perm_p,entropy_val,fft_dominant_frequency,fft_dominant_period,fft_max_magnitude,uniformity_score,patterns_score,periodicity_score,randomness_score
1,randoms-1,QRNG,IBM Qiskit (Single-Qubit),0.804053882128892,6.132,10,4.01514172449902e-05,0.104,0.804053882128892,6.132,10,0.4854,0.0146,1.74891278672644e-87,538.867075664622,42,0.0623389164301799,4.854,1.0,3.45052680253032,0.096,10.4166666666667,175.438883561187,0.4149514418479965,0.8470709919835118,0.24319112631309306,0.5017378533815338
2,randoms-10,QRNG,IBM Qiskit (Single-Qubit),0.811553099747277,6.044,10,0.0001988712714996,0.096,0.811553099747277,6.044,10,0.505,0.005,9.40994256450465e-108,644.834355828221,44,-0.0423221417763274,5.05,1.0,3.45044578574108,0.338,2.9585798816568,181.936265616827,0.35754574821791535,0.6163754290903618,0.2750970309533296,0.41633940275386894
3,randoms-100,PRNG,Linear Congruential Generator (LCG),0.0950329692400037,16.164,10,1.79437673449939e-06,0.118,0.0950329692400037,16.164,10,0.5088,0.0088,8.12392452482404e-113,672.664621676892,45,0.0429960906618952,5.088,1.0,3.43572590837605,0.052,19.2307692307692,185.646596469679,0.7438036354007949,0.8044353055667974,0.46856631199192017,0.6722684176531709
4,randoms-101,PRNG,XORShift,0.854157586445166,5.516,10,0.0012274053371617,0.086,0.854157586445166,5.516,10,0.5006,0.0006,5.8611620364050196e-114,681.19427402863,46,0.0452729901378651,5.006,1.0,3.45163553574123,0.178,5.61797752808989,182.980549060379,0.2730503910488682,0.809454085515271,0.26586016779899424,0.4494548814543778
5,randoms-102,PRNG,XORShift,0.189268554382696,13.656,10,1.71956722454747e-05,0.108,0.189268554382696,13.656,10,0.5228,0.0228,2.2622130365720299e-122,722.523517382413,46,0.0384716372909763,5.228,1.0,3.43969121796892,0.004,250.0,178.474945570976,0.7647847166027889,0.7944624296908878,0.38705901169137835,0.6487687193283517
6,randoms-103,PRNG,XORShift,0.972979827687545,3.316,10,0.000134916725306,0.098,0.972979827687545,3.316,10,0.5142,0.0142,1.50182542714452e-99,604.343558282209,44,0.003256477126952,5.142,1.0,3.45467194565284,0.262,3.81679389312977,156.810577536094,0.3243810769973351,0.7168405840280679,0.10498337702449594,0.382068346016633
7,randoms-104,PRNG,XORShift,0.313575679980334,11.588,10,1.11190264833003e-05,0.11,0.313575679980334,11.588,10,0.496,0.004,6.45120921384239e-115,688.815950920245,47,0.004712168396063,4.96,1.0,3.44193745351061,0.454,2.20264317180617,177.879171777585,0.610121670763817,0.7200492430969846,0.35739497433153455,0.5625219627307787
8,randoms-105,PRNG,XORShift,0.652266679527944,7.76,10,1.11190264833003e-05,0.11,0.652266679527944,7.76,10,0.487,0.013,9.38727910655244e-116,692.938650306749,47,0.0233292192145981,4.87,1.0,3.44839641887118,0.236,4.23728813559322,179.098826766803,0.48442792667481527,0.7610852582280333,0.28606205033626286,0.5105250784130372
9,randoms-106,PRNG,XORShift,0.788756726917498,6.308,10,7.13247100230033e-06,0.112,0.788756726917498,6.308,10,0.5042,0.0041999999999999,1.2489178814858301e-106,642.18609406953,45,0.0692251528021758,5.042,1.0,3.45062136830215,0.04,25.0,167.922840757317,0.3727787628577142,0.8622498435058663,0.2062728903817335,0.480433832248438
10,randoms-107,PRNG,XORShift,0.829826819456664,5.824,10,0.0001988712714996,0.096,0.829826819456664,5.824,10,0.49,0.01,2.06860427122103e-101,613.546012269939,44,-0.0137353560534882,4.9,1.0,3.4509258825928,0.004,250.0,165.9253040932,0.37298067954749264,0.6793869008269353,0.19312443998299686,0.4151640067858082
