name,component,IS,RA,dRA,DEC,dDEC,band_z,error_z,band_g,error_g,band_r,error_r,band_i,error_i,z_l,z_s,ra,dec,photometric_system,Telescope,instrument,Bibcode,notes
DES01xx-24xx,A,ima,0.0,0.003,0.0,0.003,1.692,0.001,18.83,0.01,18.87,0.01,18.62,0.01,0.22,1.692,1000,1000,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES01xx-24xx,B,ima,-0.523,0.013,-1.77,0.013,1.69,0.002,20.49,0.02,20.25,0.05,19.91,0.07,0.22,1.692,1000,1000,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES01xx-24xx,G,lens,-0.434,0.024,-1.283,0.037,0.22,0.03,20.3,0.04,18.87,0.03,18.31,0.02,0.22,1.692,1000,1000,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES0247-6349,A,ima,0.0,0.003,0.0,0.005,2.303,0.009,19.95,0.01,19.8,0.02,19.81,0.03,0.43,2.303,41.9782,-63.8231,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES0247-6349,B,ima,1.055,0.013,0.984,0.013,2.31,0.02,21.13,0.02,20.87,0.06,20.45,0.09,0.43,2.303,41.9782,-63.8231,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES0247-6349,G,lens,0.76,0.19,0.6,0.16,0.43,0.08,22.21,0.23,21.11,0.17,19.87,0.13,0.43,2.303,41.9782,-63.8231,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES03xx-44xx,A,ima,0.0,0.008,0.0,0.011,2.094,0.001,19.91,0.02,19.88,0.03,19.56,0.02,0.11,2.094,2000,2000,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES03xx-44xx,B,ima,-1.89,0.03,0.44,0.03,2.093,0.003,21.06,0.02,21.05,0.05,20.64,0.03,0.11,2.094,2000,2000,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES03xx-44xx,G,lens,-0.742,0.011,0.179,0.005,0.11,0.03,19.08,0.01,18.11,0.01,17.7,0.01,0.11,2.094,2000,2000,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES2158-5812,A,ima,0.0,0.005,0.0,0.005,1.756,0.004,20.0,0.01,19.92,0.01,19.71,0.01,0.41,1.756,329.655,-58.2011,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES2158-5812,B,ima,-0.124,0.016,1.888,0.018,1.74,0.02,21.71,0.01,21.26,0.1,21.09,0.18,0.41,1.756,329.655,-58.2011,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
DES2158-5812,G,lens,-0.03,0.04,1.29,0.07,0.41,0.08,21.65,0.14,20.53,0.05,19.64,0.08,0.41,1.756,329.655,-58.2011,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
KIDS2307-3039,A,ima,0.0,0.008,0.0,0.008,2.64,0.005,18.64,0.02,18.49,0.02,18.57,0.04,0.46,2.64,346.829,-30.6544,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
KIDS2307-3039,B,ima,-2.046,0.013,-1.291,0.016,2.641,0.003,20.01,0.04,19.78,0.04,19.18,0.07,0.46,2.64,346.829,-30.6544,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
KIDS2307-3039,G,lens,-1.56,0.13,-0.9,0.13,0.46,0.06,21.6,0.3,20.97,0.11,19.85,0.07,0.46,2.64,346.829,-30.6544,AB,Pan-STARRS,PS1,2019MNRAS.483.3888S,
