# sample: Lys-12Iq-log251
# data
# X2_Lys-1p0-Gt.dat
# X2_Lys-2p5-Gt.dat
# X2_Lys-5p0-Gt.dat
# X4_Lys_3p0-Gt.dat
# X4_Lys-0p75-Gt.dat
# X4_Lys-1p5p0-Gt.dat
# X5_Lys-Gt.dat
# X7_Lys-2p0-Gt.dat
# X7_Lys-5p0-Gt.dat
# X12_Lys-1B-Gt.dat
# X12_Lys-1C-Gt.dat
# X12_Lys-1D-Gt.dat
# q  I  sigma
1.033820e-02 9.918142e-01 2.288404e-02
1.052518e-02 1.020704e+00 5.330814e-02
1.071839e-02 9.780199e-01 6.880094e-02
1.087511e-02 1.009461e+00 2.217983e-02
1.106840e-02 1.013290e+00 3.803860e-02
1.139366e-02 9.886823e-01 1.563515e-02
1.152758e-02 9.591193e-01 4.754811e-02
1.189603e-02 1.006710e+00 1.445110e-02
1.228964e-02 1.003172e+00 1.768674e-02
1.252236e-02 9.918244e-01 1.248328e-02
1.288440e-02 9.889842e-01 3.032962e-02
1.303414e-02 9.981412e-01 1.244648e-02
1.342120e-02 9.743222e-01 3.272324e-02
1.354866e-02 9.805394e-01 1.118494e-02
1.402953e-02 9.947770e-01 1.101474e-02
1.417082e-02 9.871875e-01 2.699935e-02
1.453878e-02 9.913809e-01 8.396873e-03
1.473765e-02 9.593561e-01 2.522641e-02
1.506571e-02 9.948724e-01 8.818846e-03
1.550918e-02 9.869521e-01 8.751876e-03
1.569317e-02 9.945780e-01 1.118628e-02
1.612475e-02 9.981403e-01 7.951880e-03
1.650976e-02 9.900126e-01 1.218404e-02
1.665751e-02 9.992256e-01 7.661978e-03
1.719111e-02 9.942411e-01 6.828102e-03
1.755071e-02 9.751443e-01 1.170143e-02
1.776760e-02 9.871264e-01 7.003917e-03
1.826573e-02 9.869001e-01 8.011757e-03
1.847170e-02 9.779336e-01 7.133811e-03
1.891375e-02 9.815588e-01 6.026349e-03
1.933886e-02 9.698016e-01 7.606758e-03
1.975247e-02 9.794845e-01 4.455181e-03
2.040915e-02 9.721699e-01 4.767142e-03
2.101269e-02 9.809543e-01 4.540249e-03
2.149872e-02 9.732248e-01 6.031512e-03
2.188407e-02 9.716841e-01 4.823154e-03
2.210638e-02 9.349484e-01 1.780832e-02
2.254623e-02 9.695767e-01 3.854903e-03
2.322730e-02 9.764212e-01 3.841977e-03
2.361161e-02 9.657862e-01 5.372463e-03
2.413706e-02 9.728267e-01 3.937653e-03
2.460696e-02 9.557368e-01 4.439021e-03
2.503112e-02 9.635500e-01 3.501105e-03
2.570881e-02 9.600285e-01 3.053159e-03
2.623450e-02 9.618673e-01 5.319999e-03
2.668270e-02 9.577746e-01 2.783769e-03
2.742940e-02 9.460296e-01 3.934461e-03
2.769770e-02 9.545176e-01 3.190108e-03
2.851683e-02 9.488112e-01 2.594659e-03
2.890803e-02 9.423789e-01 5.051442e-03
2.960806e-02 9.460863e-01 2.452136e-03
3.051755e-02 9.386918e-01 2.601257e-03
3.097286e-02 9.463516e-01 4.059103e-03
3.159920e-02 9.443356e-01 2.632101e-03
3.213055e-02 9.425408e-01 4.711808e-03
3.274565e-02 9.326224e-01 2.272967e-03
3.364304e-02 9.284012e-01 1.968637e-03
3.423731e-02 9.281204e-01 4.201723e-03
3.494904e-02 9.260821e-01 2.137758e-03
3.558163e-02 9.203910e-01 2.264727e-03
3.632352e-02 9.140566e-01 2.202928e-03
3.732998e-02 9.131949e-01 1.874866e-03
3.775883e-02 9.053745e-01 3.026887e-03
3.870058e-02 9.020017e-01 1.928445e-03
3.948330e-02 8.983983e-01 2.379327e-03
4.025245e-02 8.981971e-01 1.907001e-03
4.133808e-02 8.940767e-01 1.858987e-03
4.183796e-02 8.845229e-01 2.534312e-03
4.286453e-02 8.818786e-01 1.698206e-03
4.354656e-02 8.837749e-01 2.226791e-03
