index,n
0,5
1,4
2,2
3,1
4,10
5,5
6,4
7,7
8,2
9,2
10,8
11,6
12,4
13,1
14,7
15,8
16,2
17,3
18,3
19,1
20,10
21,2
22,1
23,1
24,2
25,5
26,0
27,7
28,5
29,3
30,10
31,6
32,4
33,0
34,3
35,5
36,0
37,1
38,2
39,8
40,0
41,7
42,4
43,8
44,7
45,5
46,9
47,10
48,4
49,0
50,3
51,5
52,10
53,5
54,8
55,5
56,10
57,10
58,4
59,4
60,6
61,8
62,9
63,7
64,1
65,9
66,8
67,3
68,2
69,8
70,1
71,9
72,1
73,8
74,3
75,5
76,7
77,3
78,6
79,7
80,0
81,7
82,0
83,3
84,8
85,6
86,10
87,6
88,0
89,6
90,5
91,3
92,0
93,1
94,2
95,1
96,2
97,8
98,7
99,4
100,3
101,5
102,9
103,10
104,5
105,7
106,3
107,3
108,8
109,9
110,4
111,0
112,1
113,0
114,2
115,1
116,10
117,4
118,7
119,4
120,5
121,9
122,6
123,9
124,9
125,6
126,5
127,1
128,6
129,0
130,4
131,3
132,4
133,0
134,0
135,10
136,6
137,5
138,2
139,5
140,4
141,9
142,6
143,8
144,8
145,6
146,9
147,9
148,9
149,1
150,10
151,4
152,6
153,3
154,2
155,4
156,0
157,3
158,6
159,2
160,1
161,10
162,7
163,6
164,0
165,7
166,0
167,8
168,2
169,7
170,1
171,8
172,2
173,1
174,9
175,3
176,1
177,0
178,2
179,5
180,3
181,10
182,5
183,0
184,9
185,0
186,0
187,7
188,9
189,2
190,8
191,1
192,8
193,7
194,1
195,4
196,4
197,4
198,0
199,9
200,8
201,6
202,10
203,5
204,9
205,1
206,10
207,9
208,2
209,9
210,9
211,0
212,3
213,9
214,4
215,6
216,6
217,2
218,10
219,9
220,4
221,8
222,5
223,6
224,3
225,10
226,7
227,7
228,9
229,5
230,0
231,0
232,1
233,2
234,2
235,3
236,0
237,0
238,6
239,2
240,10
241,10
242,8
243,1
244,4
245,0
246,6
247,3
248,4
249,8
250,5
251,7
252,1
253,0
254,6
255,1
256,3
257,5
258,2
259,0
260,10
261,2
262,3
263,3
264,10
265,2
266,9
267,9
268,6
269,8
270,9
271,10
272,1
273,5
274,3
275,10
276,3
277,8
278,2
279,10
280,8
281,2
282,2
283,7
284,4
285,7
286,7
287,3
288,9
289,5
290,5
291,4
292,5
293,3
294,0
295,10
296,0
297,1
298,8
299,9
300,9
301,1
302,2
303,10
304,9
305,3
306,9
307,5
308,3
309,8
310,5
311,1
312,5
313,2
314,0
315,6
316,1
317,6
318,9
319,9
320,8
321,4
322,7
323,10
324,5
325,3
326,9
327,8
328,9
329,6
330,8
331,8
332,8
333,5
334,4
335,4
336,10
337,5
338,10
339,2
340,7
341,3
342,10
343,6
344,1
345,1
346,6
347,6
348,5
349,5
350,3
351,2
352,9
353,6
354,6
355,8
356,10
357,4
358,1
359,6
360,0
361,9
362,5
363,3
364,1
365,2
366,0
367,0
368,10
369,6
370,2
371,9
372,1
373,9
374,9
375,0
376,0
377,0
378,6
379,4
380,4
381,5
382,6
383,10
384,1
385,4
386,8
387,9
388,0
389,10
390,1
391,0
392,7
393,8
394,3
395,5
396,7
397,1
398,2
399,1
400,4
401,0
402,7
403,2
404,1
405,1
406,3
407,2
408,0
409,1
410,10
411,10
412,2
413,2
414,3
415,9
416,3
417,1
418,0
419,4
420,0
421,4
422,6
423,5
424,5
425,10
426,4
427,0
428,6
429,10
430,3
431,9
432,7
433,9
434,0
435,0
436,4
437,1
438,10
439,9
440,5
441,3
442,1
443,0
444,8
445,8
446,0
447,5
448,3
449,6
450,5
451,7
452,8
453,0
454,3
455,0
456,1
457,8
458,8
459,3
460,7
461,8
462,10
463,0
464,10
465,9
466,2
467,8
468,9
469,10
470,4
471,4
472,2
473,7
474,10
475,8
476,8
477,10
478,6
479,6
480,7
481,5
482,9
483,7
484,0
485,5
486,3
487,8
488,0
489,9
490,1
491,4
492,8
493,7
494,4
495,8
496,8
497,8
498,1
499,2
